latitude,longitude,loc_id
-43.492999999999995,172.537,111
-40.506519999999995,175.91585999999998,112
-37.94472,176.5075,113
-35.424,173.822,114
-35.2825,173.98583,115
-39.33162,175.75068,116
-43.50495,170.92634999999999,117
-42.97405,172.94844,118
-35.48873,173.37600999999998,119
-39.002759999999995,175.87596,120
-43.64254,170.9063,121
-45.81111,170.13110999999998,122
-46.10084,168.45865,123
-40.2526,175.6024,124
-41.80779,172.84213,125
-41.15963,174.13245999999998,126
-46.19883,170.00673,127
-41.468182999999996,173.925165,128
-44.233,170.117,129
-45.388,170.20499999999998,130
-46.89083,168.11253,131
-43.61709,172.60899999999998,132
-39.498729999999995,175.74872,133
-46.413,168.31699999999998,134
-40.90689,176.21197999999998,135
-35.768429999999995,174.35943999999998,136
-41.14027,175.04282999999998,137
-40.56641,175.23852,138
-39.22428,176.83882,139
-45.92905,170.19695,140
-43.91498,170.12861999999998,141
-36.70833,174.38,142
-38.791399999999996,175.2847,143
-41.123965999999996,175.308884,144
-39.4619952,174.3062951,145
-38.10376,176.68204,146
-43.75705,173.04528,147
-41.83862,174.07723,148
-39.007999999999996,174.178,149
-44.97182,171.08189,150
-43.03828,171.75236999999998,151
-46.90051,168.12851,152
-39.96903,175.64463999999998,153
-39.422619999999995,173.86025999999998,154
-35.69833,173.81167,155
-44.70417,170.775,156
-38.516999999999996,175.57999999999998,157
-37.516,177.177,158
-35.505449999999996,174.13203,159
-43.816759999999995,-176.47502,160
-38.776939999999996,176.411,161
-41.8886,173.62582,162
-45.03389,170.26778,163
-43.63998,171.87878999999998,164
-43.29526,172.22501,165
-42.94461,171.56513999999999,166
-41.52778,172.825,167
-44.885259999999995,168.48044,168
-39.961999999999996,175.024,169
-40.978649999999995,175.63643,170
-39.58372,175.51148999999998,171
-34.69833,173.02417,172
-38.10594,176.31457,173
-45.485,168.69889,174
-38.595099999999995,175.2062,175
-43.9015,170.92238,176
-43.470279999999995,172.68222,177
-38.35471,177.55164,178
-43.48558,172.35344,179
-36.1351,174.55951,180
-45.255829999999996,170.68582999999998,181
-38.265809999999995,175.02555999999998,182
-38.6055,176.75567999999998,183
-39.461,176.85899999999998,184
-36.272999999999996,174.796,185
-38.14792,178.12950999999998,186
-35.48408,173.41903,187
-37.8257,178.07161,188
-40.570699999999995,176.10999999999999,189
-42.4,171.51667,190
-41.34167,172.99056,191
-41.90647,171.43881,192
-37.60704,174.96474,193
-42.76318,172.55365,194
-41.64724,174.07273999999998,195
-40.20305,175.22194,196
-43.11667,172.225,197
-44.305,171.225,198
-38.107,176.316,199
-41.09798,172.97164999999998,200
-36.2108,174.05115999999998,201
-39.1658,175.4217,202
-42.117,171.85999999999999,203
-43.626219999999996,172.47039999999998,204
-37.791609099999995,178.3749948,205
-43.479839999999996,172.53212,206
-41.12683,174.83531,207
-38.80705,177.13205,208
-39.449439999999996,176.19583,209
-40.905,176.212,210
-39.58333,176.575,211
-44.30493,171.22158,212
-39.469609999999996,176.86382,213
-46.36036,168.77938,214
-43.29206,170.99523,215
-42.08333,173.25,216
-43.84945,172.25856,217
-42.71376,170.98398,218
-39.5837,174.84179999999998,219
-39.6117,174.2917,220
-41.302,173.219,221
-37.715565,176.04956099999998,222
-45.928999999999995,170.197,223
-42.176939999999995,172.22915999999998,224
-41.247589999999995,175.4915,225
-39.963867,175.020401,226
-39.10997,177.91725,227
-43.905699999999996,171.79817,228
-37.791609,178.37499499999998,229
-40.90759,176.07289,230
-38.072845,176.73376299999998,231
-37.00056,174.6025,232
-45.008289999999995,170.82281,233
-39.73167,176.44306,234
-39.91281,175.29364999999999,235
-45.33292,169.32999999999998,236
-45.56583,168.22222,237
